feature,importance
Consumption,0.47522536038637175
WorkingAgePop,0.09983580337948865
unemployment,8.951092683662231e-06
inflation,-0.007906734439266783
GDP_lag1,-0.018696423275308925
DependencyRatio,-0.06121870532844004
Investment,-0.1653129723235531
TradeBalance,-0.20356127416097625
