country,feature_set,winner_model,RMSE,MAE,R2,AdjR2
Germany,Enhanced,Linear,6645.801545140284,6051.587205262079,-0.990446483656185,-6.298303773406012
Greece,Traditional,Ridge,788.2582225378836,606.822494115279,0.7093378899065788,0.4671194648287277
Greece,Enhanced,RandomForest,698.4476627288374,560.7928333332924,0.7717981612718955,0.16325992466361683
Hungary,Traditional,Linear,552541.2225950479,375631.97130873025,-5.0277591934059425,-10.050891854577563
Hungary,Enhanced,Linear,516381.5315010289,380232.6143479948,-4.264630893664728,-18.303646610104003
Iceland,Traditional,Ridge,2905.754260316309,2450.4943879863617,0.995601329913295,0.9919357715077075
Iceland,Enhanced,Ridge,6044.531952332473,5456.37683972078,0.9809660476076629,0.9302088412280974
Ireland,Traditional,Linear,3075.459114391318,2680.7949562017734,0.32821619994894147,-0.23160363342694068
Ireland,Enhanced,Ridge,3080.091150202057,2716.1762613459055,0.3261910909601726,-1.470632666479367
Israel,Traditional,Ridge,5052.063869353835,4615.924619552723,0.8546833664678233,0.7335861718576759
Israel,Enhanced,Ridge,6578.390726445921,6219.991418453496,0.7536134516224529,0.09658265594899385
Italy,Traditional,Linear,5587.991820465732,4736.183170553743,0.6689381939785946,0.3930533556274233
Italy,Enhanced,Ridge,6574.337625606233,5434.6192010469385,0.5417509603134016,-0.6802464788508606
Japan,Traditional,Linear,489821.67055558873,386488.61714783433,0.9818186485644058,0.9666675223680773
Japan,Enhanced,Ridge,576779.3370316416,406421.9669890565,0.9747901908267625,0.9075640330314627
Korea,Traditional,Ridge,7014219.554692808,6631809.683975886,0.542665467986527,0.16155335797529957
Korea,Enhanced,Linear,2489062.997536375,2254600.090691378,0.9424100023699328,0.7888366753564202
Latvia,Traditional,Ridge,169.5347275886527,143.75557921632844,-0.8637929227834991,-2.4169536917697485
Latvia,Enhanced,Linear,129.29008135388332,111.98726474524597,-0.0839536951361437,-2.97449688216586
Lithuania,Traditional,Ridge,518.8316637833781,442.826902610499,-4.82491014285955,-9.679001928575842
Lithuania,Enhanced,Ridge,391.3440560399611,332.9991541621268,-2.3140096475754963,-11.15136870777682
Luxembourg,Traditional,Ridge,437.8186407683167,399.69712761544014,-5.695803902351159,-11.275640487643791
Luxembourg,Enhanced,Ridge,408.4087330696422,379.98141120773306,-4.826453297205455,-20.363662089753333
Netherlands,Traditional,Linear,2507.797877610228,2295.9829993936946,0.5597863585088345,0.19294165726619672
Netherlands,Enhanced,Linear,2587.6522533424986,2346.8594561113446,0.5313050649636353,-0.7185480951333372
Norway,Traditional,Linear,15330.992477597265,13003.709155592602,0.8945500308221691,0.8066750565073101
Norway,Enhanced,Ridge,25361.041421447346,19163.948382887484,0.7114373731703068,-0.05806296504220865
Poland,Traditional,Linear,14167.623544271286,12532.68050234986,0.053847589275857644,-0.734612752994261
Poland,Enhanced,Ridge,11785.083144568112,10530.567026151324,0.3453150083493177,-1.4005116360525016
Portugal,Traditional,Ridge,217.461787889252,190.3771540183528,0.9883100779679161,0.9785684762745129
Portugal,Enhanced,Ridge,268.365481835823,211.27668940316957,0.9821967612909136,0.9347214580666832
Slovak Republic,Traditional,Ridge,768.2300003840808,655.060057277636,-3.5313902003680013,-7.307548700674669
Slovak Republic,Enhanced,Ridge,676.9625970092139,602.9142639580845,-2.5186679350527603,-11.901782428526788
Slovenia,Traditional,Linear,132.38498817721657,110.99179002370875,0.7510835052383122,0.5436530929369059
Slovenia,Enhanced,Ridge,148.87895204213504,128.01473197432264,0.6851941451222014,-0.15428813455192802
Spain,Traditional,Linear,2156.9122365839207,1887.74681365359,0.9615552495371144,0.9295179574847097
Spain,Enhanced,Ridge,3240.9202363140184,2778.1445490710225,0.9132021869515876,0.6817413521558213
Sweden,Traditional,Ridge,14781.91484741019,12836.658278546083,-0.5784440638060828,-1.8938141169778184
Sweden,Enhanced,Ridge,15305.953437179858,13120.688025339061,-0.6923437407587063,-5.205260382781923
Türkiye,Traditional,RandomForest,65860.83032519791,61356.437638887925,-6.7508569935904275,-13.209904488249117
Türkiye,Enhanced,Linear,39852.607748274364,36081.84829608496,-1.8379765983350143,-9.405914193895052
United Kingdom,Traditional,Linear,2959.0032082869616,2521.1186754109417,0.9203713582134504,0.8540141567246591
United Kingdom,Enhanced,Ridge,4239.228422853884,3214.4973148153804,0.8365623637150589,0.4007286669552159
United States,Traditional,Linear,29714.63229262958,21681.108802248335,0.9455192695273077,0.9001186608000641
United States,Enhanced,Ridge,48060.476471497124,44196.75926630517,0.8574791692099522,0.4774236204364912
