feature,importance
Consumption,0.5410513368290026
TradeBalance,0.15294262039776446
Investment,0.09910346290056087
GDP_lag1,0.024101191236068166
WorkingAgePop,0.020486743840965237
inflation,0.013089121358345501
DependencyRatio,0.000523123819008009
unemployment,-0.0011180543991878733
