feature,importance
Consumption,0.6733226877793677
Investment,0.05569030502623733
WorkingAgePop,0.008938131562169138
unemployment,-0.002466087051090782
GDP_lag1,-0.0032965448102779014
DependencyRatio,-0.004603935144163529
inflation,-0.006618394385922455
TradeBalance,-0.02425845597869387
