country,quarter,gross_fixed_capital_formation,final_consumption_expenditure,gross_domestic_product,external_balance_of_goods_and_services,inflation,unemployment,working_age_population,dependency_ratio
United States,1/1/1977,265516.8,1393607,1631925.8,-17121,5.85774,7.5,143750254,53.20976407
United States,4/1/1977,277502,1401478,1663616.5,-16045.8,6.847698,7.133333,144344665.8,52.98775524
United States,7/1/1977,279485,1414700.3,1693614.3,-14256,6.682161,6.9,144939077.5,52.76574641
United States,10/1/1977,282513.8,1431803.8,1693648,-17852,6.605399,6.666667,145533489.3,52.54373758
United States,1/1/1978,283898.3,1439270.5,1699065,-22127.8,6.606437,6.333333,146127901,52.32172876
United States,4/1/1978,305061.3,1465135.3,1764730,-14849,6.961326,6,146712697.5,52.13782494
United States,7/1/1978,313372.3,1471199.3,1782478.8,-15208,7.95207,6.033333,147297494,51.95392113
United States,10/1/1978,320405,1481945,1806437.5,-13311,8.943966,5.9,147882290.5,51.77001731
United States,1/1/1979,319290.5,1489218.5,1809681.8,-12981.5,9.745763,5.866667,148467087,51.58611349
United States,4/1/1979,320244.5,1488555,1811613.5,-13288.8,10.7438,5.7,148907153.5,51.50305192
United States,7/1/1979,327648.8,1496993.8,1825070.3,-8749.8,11.7558,5.866667,149347220,51.41999035
United States,10/1/1979,325235.8,1502523.8,1829633.8,-5337.3,12.66073,5.966667,149787286.5,51.33692877
United States,1/1/1980,323905.8,1503501.3,1835389.3,-2803.8,14.28571,6.3,150227353,51.2538672
United States,4/1/1980,300343.8,1480773,1797572.3,6159.8,14.5056,7.333333,150668432.3,51.1835402
United States,7/1/1980,301609,1490510.5,1795435.8,12530.3,12.86682,7.666667,151109511.5,51.11321321
United States,10/1/1980,311084,1505819.3,1828919.3,7391.5,12.64267,7.4,151550590.8,51.04288621
United States,1/1/1981,315361,1512271,1864755.5,5396.3,11.23311,7.433333,151991670,50.97255922
United States,4/1/1981,315436.5,1515975.5,1850936.3,5791.8,9.775968,7.4,152380408.8,50.9483302
United States,7/1/1981,314447.8,1521743.3,1873101.3,4748.5,10.84,7.4,152769147.5,50.92410118
United States,10/1/1981,315296,1516197.8,1852692,2552.3,9.547935,8.233334,153157886.3,50.89987217
United States,1/1/1982,306874.3,1526651.5,1823907.8,1032.8,7.593014,8.833333,153546625,50.87564315
United States,4/1/1982,300107.3,1530493.8,1832228,3098.5,6.753247,9.433333,153900634,50.87420451
United States,7/1/1982,294477.3,1541901.5,1825224,-5267,5.774089,9.9,154254643,50.87276587
United States,10/1/1982,296487.8,1566901.5,1825954.3,-5649.5,4.517965,10.66667,154608652,50.87132723
United States,1/1/1983,302034.8,1582757,1850016.5,-6359.5,3.599153,10.36667,154962661,50.86988859
United States,4/1/1983,311598,1610803.8,1892114,-13270.5,3.336809,10.13333,155338068.3,50.83272388
United States,7/1/1983,327770.5,1637650.3,1929936.5,-19783.8,2.62709,9.366667,155713475.5,50.79555917
United States,10/1/1983,343506.5,1649473.5,1970198.5,-23313.8,3.301566,8.533334,156088882.8,50.75839446
United States,1/1/1984,353829.3,1662492.5,2008711.8,-30559.5,4.529973,7.866667,156464290,50.72122975
United States,4/1/1984,366732.8,1687887,2043417.5,-33409.3,4.339051,7.433333,156841643.8,50.69335867
United States,7/1/1984,373751.3,1699783,2063116.3,-34632.5,4.255319,7.433333,157218997.5,50.6654876
United States,10/1/1984,383450,1720748.8,2080049.8,-36512.8,4.085667,7.3,157596351.3,50.63761653
United States,1/1/1985,387119,1747760.5,2100205,-33274.8,3.584229,7.233333,157973705,50.60974546
United States,4/1/1985,395149,1765264.5,2118696.8,-39972.8,3.739523,7.3,158377818,50.57442965
United States,7/1/1985,396482.3,1799239.5,2151055,-40070,3.348214,7.2,158781931,50.53911384
United States,10/1/1985,402525,1804127.3,2167047,-42541,3.51377,7.033333,159186044,50.50379803
United States,1/1/1986,404507.3,1819059.5,2187281.8,-39267.3,3.082731,7.033333,159590157,50.46848221
United States,4/1/1986,406588.8,1842293.8,2197131,-44215,1.615911,7.166667,159893478.5,50.51985207
United States,7/1/1986,409237,1873536,2218150.3,-45944,1.635298,6.966667,160196800,50.57122192
United States,10/1/1986,410687.3,1881927.3,2230048.3,-43145,1.284404,6.833333,160500121.5,50.62259177
United States,1/1/1987,406533,1884458.3,2246591.8,-42145.3,2.197132,6.6,160803443,50.67396163
United States,4/1/1987,413188.5,1906383.5,2270814,-41408.8,3.761468,6.266667,161083686.3,50.75440804
United States,7/1/1987,419972.8,1922583,2290506,-39459.8,4.189435,6,161363929.5,50.83485446
United States,10/1/1987,420164,1933054.8,2329833,-38646,4.498792,5.833333,161644172.8,50.91530088
United States,1/1/1988,417211.8,1960188,2341875.5,-30949.3,3.971335,5.7,161924416,50.9957473
United States,4/1/1988,424624,1971905.8,2372648.5,-25386.5,3.919835,5.466667,162172258.8,51.12208864
United States,7/1/1988,425651.3,1986716.5,2386551.5,-26511.8,4.108392,5.466667,162420101.5,51.24842998
United States,10/1/1988,430748,2013292,2418351.3,-27311,4.305114,5.333333,162667944.3,51.37477132
United States,1/1/1989,433397,2018949.3,2442931.3,-23851.3,4.824813,5.2,162915787,51.50111266
United States,4/1/1989,434374.5,2033784,2461573.3,-18245,5.218378,5.233333,163244204,51.62492759
United States,7/1/1989,442339.8,2051669.5,2479807,-16450.5,4.673944,5.233333,163572621,51.74874253
United States,10/1/1989,437890.8,2061429.5,2484691.8,-17204.8,4.598338,5.366667,163901038,51.87255746
United States,1/1/1990,445084,2079786.3,2511846.5,-15913,5.232877,5.3,164229455,51.99637239
United States,4/1/1990,438012,2086017.8,2520963.8,-13577.3,4.58221,5.333333,164653137.8,52.11422702
United States,7/1/1990,435572.3,2093073,2522642.3,-11600,5.53476,5.7,165076820.5,52.23208166
United States,10/1/1990,427500,2083214.8,2499676,-5343.5,6.223517,6.133333,165500503.3,52.34993629
United States,1/1/1991,416740,2082428.8,2487979,-2335.3,5.285082,6.6,165924186,52.46779092
United States,4/1/1991,419145,2096579.8,2507377.5,788.3,4.845361,6.833333,166431470,52.5332115
United States,7/1/1991,419122.8,2103884.5,2520048.8,26,3.876362,6.866667,166938754,52.59863209
United States,10/1/1991,419445,2100339.5,2528832.3,103.3,2.991773,7.1,167446038,52.66405267
United States,1/1/1992,425286.3,2133692.5,2559108.8,2091.5,2.868447,7.366667,167953322,52.72947325
United States,4/1/1992,434613,2145819.3,2586857.3,-861,3.097345,7.6,168445027.3,52.78839044
United States,7/1/1992,437083,2169413.3,2612418.3,141.5,3.097561,7.633333,168936732.5,52.84730762
United States,10/1/1992,446123.5,2191044.3,2639662,-3473,3.050109,7.366667,169428437.8,52.9062248
United States,1/1/1993,446341,2193781.3,2644068.8,-7278.8,3.197115,7.133333,169920143,52.96514198
United States,4/1/1993,453789.3,2208468.5,2659461.8,-9106,3.147353,7.066667,170438155,52.97062506
United States,7/1/1993,458206.3,2230470,2672151.5,-12315.5,2.744263,6.8,170956167,52.97610813
United States,10/1/1993,473580.8,2247160.8,2708496.8,-14353.8,2.724924,6.633333,171474179,52.98159121
United States,1/1/1994,473833.3,2266132.5,2734779,-17392,2.515723,6.566667,171992191,52.98707428
United States,4/1/1994,482954.5,2281362.3,2771840.3,-18748.8,2.380952,6.2,172553484.3,52.94657601
United States,7/1/1994,489406,2300794.3,2788044,-17327,2.878195,6,173114777.5,52.90607774
United States,10/1/1994,497558.5,2317599.3,2819983,-18911.8,2.652641,5.633333,173676070.8,52.86557946
United States,1/1/1995,507046.8,2322991.8,2829987.8,-19922,2.840264,5.466667,174237364,52.82508119
